id;cnpj;nome_da_empresa;nomefantasia;email;telefone
1;57563;Mato Assurance capability;bypass Cadeira;Janana_Silva7@yahoo.com;95537
2;4265;Casa;Analyst moratorium;Maria6@bol.com.br;16441
3;97944;Future Beleza;pele;Jlia.Costa@live.com;8295
4;90567;Alameda hybrid;Open-architected;Samuel.Reis50@hotmail.com;86401
5;11064;Applications Luvas;virtual Optimization digital;Washington45@bol.com.br;11094
6;23899;Groelândia invoice;Concreto;MariaEduarda_Pereira0@bol.com.br;67320
7;49689;Chief Innovative;Sul even-keeled infomediaries;Matheus94@hotmail.com;36089
8;83625;multi-byte;e-business Macio Impressionante;Klber.Santos34@gmail.com;71554
9;55982;digital Alameda Legacy;Factors Integration indexing;Liz.Carvalho87@gmail.com;41069
10;54135;(EURCO) strategize prata;Product moderator Maranhão;Daniel.Carvalho48@hotmail.com;78754
